shipment_id,order_date,supplier_id,route_id,product_category,order_value,weight_kg,expected_days,actual_days,delay_days,is_delayed,weather_risk,port_congestion,supplier_issue,demand_spike,transport_mode
34,2023-01-12,15,9,Raw Material,90768.15,2158.2,10,11,1,1,0,0,0,1,Road
35,2023-01-12,8,15,Raw Material,136976.46,849.5,14,23,9,1,0,1,1,1,Rail
36,2023-01-12,28,2,Raw Material,190291.68,1661.1,16,16,0,0,0,0,0,0,Air
37,2023-01-13,17,10,Raw Material,70209.02,1746.5,13,13,0,0,0,0,0,0,Air
38,2023-01-13,3,10,Raw Material,64904.72,4575.0,13,13,0,0,0,0,0,0,Air
39,2023-01-13,28,11,Raw Material,138355.01,3241.7,23,26,3,1,1,0,0,0,Road
40,2023-01-14,5,3,Packaging,77613.08,2277.9,6,8,2,1,1,0,0,0,Road
41,2023-01-14,22,7,Raw Material,61707.95,784.8,7,7,0,0,0,0,0,0,Rail
42,2023-01-14,6,13,Raw Material,67933.08,3452.1,13,18,5,1,0,1,0,0,Road
43,2023-01-15,6,15,Electronics,116288.84,910.5,14,14,0,0,0,0,0,0,Rail
44,2023-01-15,30,3,Textile,75341.92,4569.3,6,6,0,0,0,0,0,0,Road
45,2023-01-15,21,13,Raw Material,178447.99,4890.2,13,13,0,0,0,0,0,0,Road
46,2023-01-16,6,2,Textile,102611.74,744.0,16,16,0,0,0,0,0,0,Air
47,2023-01-16,29,10,Textile,161933.05,1042.4,13,15,2,1,0,0,1,0,Air
48,2023-01-16,13,14,Packaging,121253.22,1035.4,2,2,0,0,0,0,0,0,Road
49,2023-01-17,16,10,Electronics,154780.23,3534.4,13,13,0,0,0,0,0,0,Air
50,2023-01-17,24,1,Electronics,24632.38,4331.0,8,16,8,1,0,1,1,0,Sea
51,2023-01-17,28,8,Raw Material,68758.8,313.7,17,17,0,0,0,0,0,0,Sea
52,2023-01-18,2,14,Electronics,94750.28,1733.2,2,4,2,1,1,0,0,0,Road
53,2023-01-18,6,15,Electronics,6769.93,3288.2,14,14,0,0,0,0,0,0,Rail
54,2023-01-18,2,9,Electronics,96954.77,4961.6,10,10,0,0,0,0,0,0,Road
55,2023-01-19,28,14,Textile,159956.29,4265.6,2,2,0,0,0,0,0,0,Road
56,2023-01-19,13,5,Packaging,160129.46,514.0,13,13,0,0,0,0,0,0,Rail
57,2023-01-19,13,15,Electronics,94330.72,2309.2,14,15,1,1,0,0,0,1,Rail
58,2023-01-20,21,12,Textile,151143.82,1415.6,23,23,0,0,0,0,0,0,Road
59,2023-01-20,6,13,Packaging,151812.98,4512.9,13,13,0,0,0,0,0,0,Road
60,2023-01-20,29,13,Packaging,67988.79,3656.7,13,17,4,1,0,0,1,1,Road
61,2023-01-21,3,5,Raw Material,55558.4,287.0,13,13,0,0,0,0,0,0,Rail
62,2023-01-21,2,1,Textile,27602.17,4885.2,8,8,0,0,0,0,0,0,Sea
63,2023-01-21,30,2,Packaging,45620.62,2727.0,16,16,0,0,0,0,0,0,Air
64,2023-01-22,18,14,Packaging,160273.98,2002.8,2,6,4,1,0,0,1,1,Road
65,2023-01-22,22,15,Textile,94911.5,381.2,14,14,0,0,0,0,0,0,Rail
66,2023-01-22,17,4,Packaging,8473.59,1075.9,21,21,0,0,0,0,0,0,Road
67,2023-01-23,8,2,Textile,105310.98,2527.2,16,18,2,1,0,0,1,0,Air
68,2023-01-23,4,11,Raw Material,87991.28,2779.3,23,23,0,0,0,0,0,0,Road
69,2023-01-23,17,5,Electronics,170345.06,178.7,13,14,1,1,1,0,0,0,Rail
70,2023-01-24,16,13,Electronics,49661.92,4229.2,13,13,0,0,0,0,0,0,Road
71,2023-01-24,1,9,Electronics,122986.34,293.9,10,18,8,1,1,1,0,0,Road
72,2023-01-24,12,5,Electronics,199815.42,4612.6,13,13,0,0,0,0,0,0,Rail
73,2023-01-25,24,13,Raw Material,78655.38,1974.1,13,18,5,1,1,0,1,0,Road
74,2023-01-25,18,2,Raw Material,158867.46,2292.6,16,19,3,1,0,0,1,0,Air
75,2023-01-25,10,12,Textile,116326.15,68.2,23,25,2,1,1,0,0,0,Road
76,2023-01-26,17,2,Textile,124356.88,3895.1,16,16,0,0,0,0,0,0,Air
77,2023-01-26,12,11,Packaging,127240.57,3734.6,23,27,4,1,1,0,0,0,Road
78,2023-01-26,18,14,Raw Material,139500.4,2287.6,2,5,3,1,0,0,1,0,Road
79,2023-01-27,3,5,Raw Material,44910.54,892.8,13,14,1,1,1,0,0,0,Rail
80,2023-01-27,19,3,Packaging,94281.49,1796.3,6,6,0,0,0,0,0,0,Road
81,2023-01-27,2,8,Raw Material,142711.34,2071.1,17,19,2,1,1,0,0,0,Sea
82,2023-01-28,18,12,Raw Material,49977.54,3439.1,23,24,1,1,0,0,1,0,Road
83,2023-01-28,14,4,Textile,99006.59,3312.6,21,24,3,1,1,0,0,0,Road
84,2023-01-28,20,5,Electronics,14183.08,1061.5,13,17,4,1,1,0,0,0,Rail
85,2023-01-29,17,13,Electronics,129453.33,3917.8,13,13,0,0,0,0,0,0,Road
86,2023-01-29,13,12,Raw Material,131657.07,4993.8,23,23,0,0,0,0,0,0,Road
87,2023-01-29,7,4,Raw Material,177043.83,4192.5,21,21,0,0,0,0,0,0,Road
88,2023-01-30,3,2,Electronics,124952.69,699.5,16,16,0,0,0,0,0,0,Air
89,2023-01-30,23,14,Raw Material,6129.65,4936.7,2,5,3,1,0,1,0,0,Road
90,2023-01-30,27,7,Raw Material,102802.29,1276.7,7,9,2,1,0,0,1,0,Rail
91,2023-01-31,14,13,Packaging,150948.72,2696.9,13,13,0,0,0,0,0,0,Road
92,2023-01-31,19,3,Electronics,64684.24,1571.3,6,6,0,0,0,0,0,0,Road
93,2023-01-31,1,3,Textile,107818.53,2948.8,6,6,0,0,0,0,0,0,Road
94,2023-02-01,6,5,Raw Material,26778.09,2243.5,13,13,0,0,0,0,0,0,Rail
95,2023-02-01,26,15,Packaging,187992.81,966.1,14,20,6,1,0,1,0,0,Rail
96,2023-02-01,13,11,Raw Material,46357.84,2905.8,23,23,0,0,0,0,0,0,Road
97,2023-02-02,23,14,Electronics,23337.21,959.9,2,2,0,0,0,0,0,0,Road
98,2023-02-02,7,8,Textile,163901.57,2993.5,17,17,0,0,0,0,0,0,Sea
99,2023-02-02,25,3,Electronics,186827.06,3885.9,6,6,0,0,0,0,0,0,Road
100,2023-02-03,24,8,Textile,108180.49,4253.5,17,24,7,1,1,1,1,0,Sea
101,2023-02-03,10,4,Textile,69522.57,3832.1,21,23,2,1,1,0,0,0,Road
102,2023-02-03,21,12,Packaging,154823.97,3105.4,23,23,0,0,0,0,0,0,Road
103,2023-02-04,25,9,Raw Material,14847.37,3446.2,10,14,4,1,1,0,0,0,Road
104,2023-02-04,27,15,Electronics,188434.01,2470.7,14,18,4,1,1,0,1,0,Rail
105,2023-02-04,19,13,Textile,110624.75,1881.8,13,13,0,0,0,0,0,0,Road
106,2023-02-05,4,10,Raw Material,170854.96,2240.2,13,13,0,0,0,0,0,0,Air
107,2023-02-05,16,8,Textile,9160.85,3712.5,17,19,2,1,1,0,0,0,Sea
108,2023-02-05,28,15,Packaging,57097.97,4936.8,14,14,0,0,0,0,0,0,Rail
109,2023-02-06,14,14,Raw Material,158316.62,4998.8,2,5,3,1,0,1,0,0,Road
110,2023-02-06,7,1,Textile,37770.43,2878.2,8,8,0,0,0,0,0,0,Sea
111,2023-02-06,2,11,Electronics,105531.28,166.9,23,23,0,0,0,0,0,0,Road
112,2023-02-07,20,12,Raw Material,97147.66,4180.5,23,24,1,1,0,0,0,1,Road
113,2023-02-07,29,14,Textile,186565.29,408.3,2,5,3,1,1,0,1,0,Road
114,2023-02-07,26,7,Electronics,17277.31,2060.5,7,11,4,1,1,0,0,0,Rail
115,2023-02-08,14,7,Raw Material,66579.92,4688.7,7,7,0,0,0,0,0,0,Rail
116,2023-02-08,30,6,Textile,74690.88,779.7,6,7,1,1,0,0,0,1,Road
117,2023-02-08,23,15,Textile,187535.63,3981.5,14,14,0,0,0,0,0,0,Rail
118,2023-02-09,4,14,Electronics,91229.79,4260.9,2,2,0,0,0,0,0,0,Road
119,2023-02-09,29,6,Electronics,55955.78,1241.2,6,8,2,1,0,0,1,0,Road
120,2023-02-09,28,5,Raw Material,101036.33,1885.8,13,13,0,0,0,0,0,0,Rail
121,2023-02-10,3,7,Textile,28808.71,372.9,7,9,2,1,1,0,0,0,Rail
122,2023-02-10,30,11,Packaging,154254.72,1215.4,23,26,3,1,1,0,0,0,Road
123,2023-02-10,5,15,Textile,68631.49,3281.7,14,18,4,1,1,0,0,0,Rail
124,2023-02-11,13,5,Electronics,180249.83,4232.9,13,16,3,1,1,0,0,0,Rail
125,2023-02-11,29,12,Packaging,129103.73,3239.5,23,25,2,1,0,0,1,0,Road
126,2023-02-11,20,9,Electronics,158484.22,4706.2,10,10,0,0,0,0,0,0,Road
127,2023-02-12,23,1,Packaging,145955.29,3050.4,8,8,0,0,0,0,0,0,Sea
128,2023-02-12,17,14,Electronics,12391.96,4828.4,2,2,0,0,0,0,0,0,Road
129,2023-02-12,21,5,Textile,193572.11,3115.9,13,13,0,0,0,0,0,0,Rail
130,2023-02-13,21,15,Textile,199022.59,400.8,14,14,0,0,0,0,0,0,Rail
131,2023-02-13,3,9,Electronics,99174.28,2252.3,10,10,0,0,0,0,0,0,Road
132,2023-02-13,28,15,Electronics,59469.62,4855.1,14,14,0,0,0,0,0,0,Rail
133,2023-02-14,16,10,Raw Material,48164.35,1245.6,13,19,6,1,0,1,0,0,Air
134,2023-02-14,11,5,Packaging,162641.11,448.9,13,13,0,0,0,0,0,0,Rail
135,2023-02-14,26,13,Packaging,6180.76,2671.5,13,15,2,1,0,1,0,0,Road
136,2023-02-15,26,15,Textile,44585.97,1124.8,14,14,0,0,0,0,0,0,Rail
137,2023-02-15,8,9,Textile,91125.97,4569.2,10,16,6,1,0,1,1,0,Road
138,2023-02-15,21,2,Electronics,160556.92,1317.7,16,17,1,1,1,0,0,0,Air
139,2023-02-16,10,14,Packaging,187830.15,3716.0,2,2,0,0,0,0,0,0,Road
140,2023-02-16,22,2,Textile,89553.13,4546.8,16,16,0,0,0,0,0,0,Air
141,2023-02-16,27,10,Packaging,80363.77,3432.0,13,20,7,1,1,0,1,0,Air
142,2023-02-17,17,7,Electronics,47312.22,4200.6,7,15,8,1,1,1,0,0,Rail
143,2023-02-17,17,8,Packaging,148629.38,3933.5,17,17,0,0,0,0,0,0,Sea
144,2023-02-17,23,6,Packaging,114091.67,4614.7,6,6,0,0,0,0,0,0,Road
145,2023-02-18,22,8,Electronics,130620.47,2997.4,17,17,0,0,0,0,0,0,Sea
146,2023-02-18,28,2,Raw Material,197028.44,833.8,16,19,3,1,1,0,0,0,Air
147,2023-02-18,10,1,Electronics,91955.77,1036.9,8,8,0,0,0,0,0,0,Sea
148,2023-02-19,1,5,Electronics,91781.08,4599.8,13,13,0,0,0,0,0,0,Rail
149,2023-02-19,11,12,Raw Material,75571.53,1832.8,23,23,0,0,0,0,0,0,Road
150,2023-02-19,5,14,Electronics,40417.45,2494.1,2,2,0,0,0,0,0,0,Road
151,2023-02-20,14,4,Packaging,150309.36,1713.6,21,21,0,0,0,0,0,0,Road
152,2023-02-20,29,9,Packaging,146677.26,1300.4,10,15,5,1,0,1,1,0,Road
153,2023-02-20,12,5,Raw Material,68703.39,1602.8,13,19,6,1,0,1,0,0,Rail
154,2023-02-21,3,8,Packaging,140179.74,951.7,17,19,2,1,0,0,0,1,Sea
155,2023-02-21,26,4,Raw Material,178894.04,1521.5,21,22,1,1,1,0,0,0,Road
156,2023-02-21,20,5,Raw Material,99324.74,1575.0,13,13,0,0,0,0,0,0,Rail
157,2023-02-22,24,9,Electronics,105585.15,2852.0,10,19,9,1,1,1,1,0,Road
158,2023-02-22,22,13,Electronics,92592.43,1907.8,13,17,4,1,1,0,0,0,Road
159,2023-02-22,20,1,Electronics,37831.71,1720.5,8,8,0,0,0,0,0,0,Sea
160,2023-02-23,13,2,Textile,31888.88,2049.2,16,18,2,1,0,0,0,1,Air
161,2023-02-23,20,8,Raw Material,39497.31,1607.6,17,18,1,1,0,0,0,1,Sea
162,2023-02-23,20,13,Electronics,32971.02,1908.2,13,14,1,1,0,0,0,1,Road
163,2023-02-24,21,12,Textile,84238.78,3392.9,23,23,0,0,0,0,0,0,Road
164,2023-02-24,12,11,Raw Material,12014.95,4651.9,23,26,3,1,0,1,0,0,Road
165,2023-02-24,6,2,Packaging,172197.95,916.6,16,16,0,0,0,0,0,0,Air
166,2023-02-25,13,4,Textile,50071.18,3695.7,21,21,0,0,0,0,0,0,Road
167,2023-02-25,9,1,Packaging,38755.01,2291.5,8,8,0,0,0,0,0,0,Sea
168,2023-02-25,9,7,Textile,30410.5,1707.4,7,8,1,1,1,0,0,0,Rail
169,2023-02-26,23,4,Raw Material,192108.82,730.4,21,22,1,1,0,0,0,1,Road
170,2023-02-26,10,15,Raw Material,68913.96,4375.9,14,17,3,1,1,0,0,0,Rail
171,2023-02-26,27,1,Packaging,191248.87,1890.1,8,16,8,1,0,1,1,0,Sea
172,2023-02-27,22,8,Raw Material,169516.2,3160.4,17,17,0,0,0,0,0,0,Sea
173,2023-02-27,22,1,Textile,165501.37,3154.0,8,9,1,1,0,0,0,1,Sea
174,2023-02-27,17,1,Electronics,72075.97,4548.1,8,8,0,0,0,0,0,0,Sea
175,2023-02-28,12,3,Textile,33448.38,4624.0,6,10,4,1,1,0,0,0,Road
176,2023-02-28,4,3,Textile,104493.32,3853.4,6,6,0,0,0,0,0,0,Road
177,2023-02-28,29,5,Packaging,194244.7,4181.8,13,16,3,1,0,0,1,0,Rail
178,2023-03-01,17,6,Textile,52459.7,2239.6,6,6,0,0,0,0,0,0,Road
179,2023-03-01,5,1,Electronics,71449.26,2765.7,8,8,0,0,0,0,0,0,Sea
180,2023-03-01,15,15,Textile,102810.42,4507.6,14,14,0,0,0,0,0,0,Rail
181,2023-03-02,26,11,Packaging,154562.9,1820.6,23,23,0,0,0,0,0,0,Road
182,2023-03-02,20,5,Packaging,188866.74,98.3,13,13,0,0,0,0,0,0,Rail
183,2023-03-02,12,1,Packaging,175070.67,1245.3,8,12,4,1,1,0,0,0,Sea
184,2023-03-03,8,13,Textile,173452.92,2020.9,13,14,1,1,0,0,1,0,Road
185,2023-03-03,28,6,Textile,98855.84,476.9,6,6,0,0,0,0,0,0,Road
186,2023-03-03,12,5,Electronics,194531.22,2309.2,13,13,0,0,0,0,0,0,Rail
187,2023-03-04,22,8,Raw Material,55486.98,183.6,17,17,0,0,0,0,0,0,Sea
188,2023-03-04,2,15,Packaging,67618.31,3203.5,14,14,0,0,0,0,0,0,Rail
189,2023-03-04,16,6,Electronics,63728.23,1705.8,6,11,5,1,1,1,0,0,Road
190,2023-03-05,6,7,Textile,150111.68,2688.4,7,9,2,1,1,0,0,0,Rail
191,2023-03-05,8,7,Electronics,59045.03,1842.6,7,13,6,1,1,0,1,0,Rail
192,2023-03-05,4,2,Raw Material,185687.04,1930.6,16,16,0,0,0,0,0,0,Air
193,2023-03-06,1,15,Textile,11877.76,2021.9,14,17,3,1,0,1,0,0,Rail
194,2023-03-06,17,7,Textile,57154.02,1582.5,7,7,0,0,0,0,0,0,Rail
195,2023-03-06,22,7,Electronics,187129.77,191.6,7,11,4,1,1,0,0,0,Rail
196,2023-03-07,11,3,Electronics,154733.84,1225.3,6,6,0,0,0,0,0,0,Road
197,2023-03-07,3,7,Packaging,103156.63,3544.7,7,7,0,0,0,0,0,0,Rail
198,2023-03-07,21,10,Packaging,174217.65,2484.1,13,13,0,0,0,0,0,0,Air
199,2023-03-08,18,3,Raw Material,62153.77,2149.0,6,8,2,1,0,0,1,0,Road
200,2023-03-08,17,12,Packaging,118059.84,2918.9,23,26,3,1,0,1,0,0,Road
201,2023-03-08,9,6,Raw Material,125697.72,3139.8,6,6,0,0,0,0,0,0,Road
202,2023-03-09,14,13,Textile,50988.56,4725.0,13,15,2,1,0,0,0,1,Road
203,2023-03-09,18,1,Raw Material,199081.06,2713.5,8,16,8,1,0,1,1,0,Sea
204,2023-03-09,15,7,Raw Material,116555.02,720.8,7,7,0,0,0,0,0,0,Rail
205,2023-03-10,2,2,Packaging,62858.0,62.4,16,20,4,1,1,0,0,0,Air
206,2023-03-10,10,6,Textile,194737.76,3748.5,6,9,3,1,0,1,0,0,Road
207,2023-03-10,10,10,Electronics,18960.09,336.8,13,13,0,0,0,0,0,0,Air
208,2023-03-11,14,1,Electronics,7101.96,3958.9,8,12,4,1,1,0,0,1,Sea
209,2023-03-11,17,1,Electronics,62549.08,2684.0,8,8,0,0,0,0,0,0,Sea
210,2023-03-11,4,6,Electronics,124552.56,2209.6,6,6,0,0,0,0,0,0,Road
211,2023-03-12,27,9,Textile,155213.93,653.0,10,13,3,1,0,1,1,0,Road
212,2023-03-12,17,8,Electronics,136797.75,4018.9,17,21,4,1,1,0,0,0,Sea
213,2023-03-12,19,15,Packaging,157038.18,378.4,14,18,4,1,1,0,0,0,Rail
214,2023-03-13,28,4,Raw Material,56979.54,2909.3,21,21,0,0,0,0,0,0,Road
215,2023-03-13,11,7,Packaging,196466.48,1310.4,7,13,6,1,0,1,0,0,Rail
216,2023-03-13,19,6,Packaging,171604.17,1520.7,6,6,0,0,0,0,0,0,Road
217,2023-03-14,7,6,Electronics,145754.17,1232.7,6,6,0,0,0,0,0,0,Road
218,2023-03-14,12,13,Raw Material,108571.02,4336.2,13,16,3,1,1,0,0,0,Road
219,2023-03-14,7,8,Raw Material,154418.46,1409.0,17,17,0,0,0,0,0,0,Sea
220,2023-03-15,22,15,Raw Material,16464.13,1351.4,14,14,0,0,0,0,0,0,Rail
221,2023-03-15,6,5,Raw Material,181343.4,4705.7,13,19,6,1,0,1,0,0,Rail
222,2023-03-15,18,1,Electronics,43161.72,288.5,8,15,7,1,1,0,1,0,Sea
223,2023-03-16,29,10,Textile,8265.09,4782.3,13,22,9,1,1,1,1,0,Air
224,2023-03-16,28,5,Packaging,150851.74,2002.4,13,18,5,1,0,1,0,0,Rail
225,2023-03-16,19,13,Packaging,157954.94,2835.8,13,13,0,0,0,0,0,0,Road
226,2023-03-17,22,11,Electronics,33331.08,3942.0,23,25,2,1,1,0,0,0,Road
227,2023-03-17,25,15,Packaging,81770.36,4446.6,14,14,0,0,0,0,0,0,Rail
228,2023-03-17,9,5,Electronics,187695.82,1757.8,13,14,1,1,1,0,0,0,Rail
229,2023-03-18,3,4,Textile,5583.44,1455.6,21,21,0,0,0,0,0,0,Road
230,2023-03-18,30,6,Textile,123884.59,2470.8,6,6,0,0,0,0,0,0,Road
231,2023-03-18,22,7,Packaging,118020.09,1357.9,7,7,0,0,0,0,0,0,Rail
232,2023-03-19,1,14,Electronics,116907.48,2753.4,2,2,0,0,0,0,0,0,Road
233,2023-03-19,4,2,Electronics,54682.94,795.6,16,16,0,0,0,0,0,0,Air
234,2023-03-19,2,8,Electronics,82400.72,4313.4,17,17,0,0,0,0,0,0,Sea
235,2023-03-20,29,14,Textile,142442.29,2384.1,2,3,1,1,0,0,1,0,Road
236,2023-03-20,14,11,Packaging,184214.61,4968.4,23,23,0,0,0,0,0,0,Road
237,2023-03-20,26,7,Packaging,56277.59,2999.9,7,10,3,1,0,1,0,1,Rail
238,2023-03-21,25,1,Raw Material,148301.63,2606.2,8,9,1,1,1,0,0,0,Sea
239,2023-03-21,12,14,Electronics,20181.28,2769.5,2,2,0,0,0,0,0,0,Road
240,2023-03-21,20,6,Electronics,197425.88,656.8,6,9,3,1,0,1,0,0,Road
241,2023-03-22,6,6,Electronics,69832.25,103.8,6,11,5,1,1,1,0,0,Road
242,2023-03-22,20,14,Raw Material,109468.51,3541.5,2,2,0,0,0,0,0,0,Road
243,2023-03-22,23,12,Electronics,165456.03,3138.9,23,23,0,0,0,0,0,0,Road
244,2023-03-23,11,8,Textile,62618.51,3303.8,17,21,4,1,0,1,0,0,Sea
245,2023-03-23,11,6,Packaging,36561.39,1276.7,6,12,6,1,0,1,0,0,Road
246,2023-03-23,30,11,Packaging,158422.17,166.8,23,25,2,1,1,0,0,0,Road
247,2023-03-24,15,7,Raw Material,177804.74,694.5,7,7,0,0,0,0,0,0,Rail
248,2023-03-24,19,5,Packaging,164882.24,4555.2,13,13,0,0,0,0,0,0,Rail
249,2023-03-24,23,15,Raw Material,139913.3,4759.8,14,14,0,0,0,0,0,0,Rail
250,2023-03-25,22,11,Textile,26418.36,1066.0,23,26,3,1,1,0,0,0,Road
251,2023-03-25,20,9,Packaging,157021.83,3960.5,10,10,0,0,0,0,0,0,Road
252,2023-03-25,24,6,Electronics,175783.45,3605.5,6,8,2,1,0,0,1,0,Road
253,2023-03-26,16,8,Packaging,105712.61,2614.7,17,17,0,0,0,0,0,0,Sea
254,2023-03-26,30,8,Textile,164265.08,4058.6,17,17,0,0,0,0,0,0,Sea
255,2023-03-26,1,14,Electronics,104208.49,1486.1,2,2,0,0,0,0,0,0,Road
256,2023-03-27,26,6,Raw Material,66298.51,1149.1,6,6,0,0,0,0,0,0,Road
257,2023-03-27,19,12,Raw Material,46001.06,170.7,23,23,0,0,0,0,0,0,Road
258,2023-03-27,10,7,Textile,27915.58,3497.0,7,9,2,1,0,0,0,1,Rail
259,2023-03-28,10,3,Raw Material,119393.4,598.5,6,8,2,1,1,0,0,0,Road
260,2023-03-28,22,13,Electronics,34858.09,2274.7,13,18,5,1,0,1,0,0,Road
261,2023-03-28,12,2,Raw Material,76213.91,524.1,16,16,0,0,0,0,0,0,Air
262,2023-03-29,7,11,Electronics,146694.33,3929.8,23,26,3,1,0,1,0,0,Road
263,2023-03-29,29,7,Textile,199457.18,4388.1,7,14,7,1,0,1,1,0,Rail
264,2023-03-29,18,6,Textile,156291.58,3593.7,6,8,2,1,0,0,1,0,Road
265,2023-03-30,23,8,Packaging,45621.08,3296.6,17,17,0,0,0,0,0,0,Sea
266,2023-03-30,24,10,Electronics,64360.15,724.4,13,15,2,1,0,0,1,1,Air
267,2023-03-30,16,9,Electronics,160682.62,2216.6,10,10,0,0,0,0,0,0,Road
268,2023-03-31,22,4,Electronics,176816.82,106.4,21,21,0,0,0,0,0,0,Road
269,2023-03-31,23,12,Textile,69606.03,3729.2,23,23,0,0,0,0,0,0,Road
270,2023-03-31,9,2,Electronics,163045.53,2240.2,16,18,2,1,0,1,0,0,Air
271,2023-04-01,11,1,Textile,80059.87,3780.2,8,8,0,0,0,0,0,0,Sea
272,2023-04-01,14,12,Raw Material,23237.75,2744.9,23,30,7,1,0,1,0,0,Road
273,2023-04-01,22,15,Raw Material,100155.75,1178.6,14,14,0,0,0,0,0,0,Rail
274,2023-04-02,28,1,Electronics,128127.38,2620.4,8,8,0,0,0,0,0,0,Sea
275,2023-04-02,24,12,Raw Material,159580.64,2863.6,23,28,5,1,0,1,1,0,Road
276,2023-04-02,25,13,Raw Material,28708.96,43.0,13,13,0,0,0,0,0,0,Road
277,2023-04-03,1,10,Raw Material,97272.66,3652.4,13,16,3,1,1,0,0,1,Air
278,2023-04-03,28,13,Raw Material,68684.11,1924.6,13,13,0,0,0,0,0,0,Road
279,2023-04-03,5,12,Electronics,82174.65,1138.2,23,23,0,0,0,0,0,0,Road
280,2023-04-04,24,9,Textile,74062.36,4936.5,10,12,2,1,0,0,1,0,Road
281,2023-04-04,14,14,Textile,173983.33,1181.4,2,2,0,0,0,0,0,0,Road
282,2023-04-04,22,1,Raw Material,155268.98,3591.1,8,8,0,0,0,0,0,0,Sea
283,2023-04-05,13,14,Raw Material,156271.29,1000.2,2,6,4,1,1,0,0,0,Road
284,2023-04-05,12,11,Textile,106211.11,3663.3,23,23,0,0,0,0,0,0,Road
285,2023-04-05,8,2,Packaging,164441.42,4130.3,16,19,3,1,1,0,1,0,Air
286,2023-04-06,6,15,Packaging,123271.41,1430.3,14,14,0,0,0,0,0,0,Rail
287,2023-04-06,4,10,Raw Material,168549.32,3751.1,13,13,0,0,0,0,0,0,Air
288,2023-04-06,19,13,Textile,127981.0,3440.5,13,15,2,1,1,0,0,0,Road
289,2023-04-07,15,13,Packaging,36490.27,1305.1,13,13,0,0,0,0,0,0,Road
290,2023-04-07,21,9,Textile,172329.74,1654.6,10,11,1,1,1,0,0,0,Road
291,2023-04-07,13,14,Packaging,117348.71,2138.0,2,3,1,1,1,0,0,0,Road
292,2023-04-08,20,2,Raw Material,53365.42,822.3,16,16,0,0,0,0,0,0,Air
